County,TotalPop,White,White_Percent,Black,Black_Percent,NativeAm,Native_Percent,Asian,Asian_Percent,Hawaiian,Hawaiian_Percent,Other,Other_Percent,Mix,Mix_Percent,Hispanic,Hispanic_Percent,Abbott-R,Abbott_Percent,Davis-D,Davis_Percent,Glass-L,Glass_Percent,Parmer-G,Pavitt-I,Total,Total,TurnOut%
Blanco,10497,8336,79.4131656663809,62,0.590644946175098,47,0.563819577735125,49,0.466800038106126,4,0.0381061255596837,5,0.0476326569496046,85,0.809755168143279,1909,18.1861484233591,2622,24.9785653043727,874,8.32618843479089,84,0.800228636753358,27,1,3608,7390,48.82%
Borden,641,539,84.0873634945398,0,0,2,0.371057513914657,1,0.15600624024961,0,0,0,0,4,0.62402496099844,95,14.8205928237129,240,37.4414976599064,18,2.80811232449298,2,0.31201248049922,0,0,260,439,59.23%
Bosque,18212,14701,80.7215023061718,277,1.52097518119921,74,0.503367117883137,38,0.208653634965957,2,0.0109817702613661,9,0.0494179661761476,185,1.01581374917637,2926,16.0663298923787,3881,21.310125192181,933,5.1229958269273,66,0.362398418625082,25,3,4908,11824,41.51%
Bowie,92565,61343,66.2701885161778,22230,24.0155566358775,572,0.932461731574915,721,0.778912115810512,45,0.0486144871171609,88,0.095068330362448,1504,1.62480419164911,6062,6.54891157564954,15583,16.8346567277049,5564,6.01091125155296,304,0.32841786852482,72,9,21532,57235,37.62%
Brazoria,313166,166674,53.2222527349712,36880,11.77650191911,1013,0.607773257976649,17013,5.43258208106883,58,0.0185205290484919,472,0.150718788118761,4413,1.40915680501715,86643,27.6667965232496,41373,13.2112042814354,19703,6.29155144555922,932,0.297605742641283,266,6,62280,183488,33.94%
Brazos,194851,115252,59.1487854822403,20827,10.6886800683599,484,0.41994932842814,9982,5.12288877142021,82,0.0420834381142514,246,0.126250314342754,2573,1.32049617399962,45405,23.3024208241169,21859,11.2183155334076,9125,4.68306552186029,503,0.258145967944737,116,5,31608,92928,34.01%
Brewster,9232,5011,54.278596187175,79,0.855719237435009,38,0.758331670325284,58,0.628249566724437,5,0.054159445407279,11,0.119150779896014,112,1.21317157712305,3918,42.4393414211439,1499,16.2370017331023,1311,14.2006065857886,75,0.812391681109186,22,1,2908,7032,41.35%
Briscoe,1637,1163,71.0445937690898,40,2.44349419670128,2,0.171969045571797,0,0,0,0,0,0,21,1.28283445326817,411,25.1069028711057,431,26.3286499694563,75,4.58155161881491,1,0.0610873549175321,3,0,510,1132,45.05%
Brooks,7223,573,7.9329918316489,19,0.263048594766717,10,1.74520069808028,18,0.249203931884259,0,0,4,0.0553786515298353,9,0.124601965942129,6590,91.2363283954036,588,8.14066177488578,1478,20.4624117402741,47,0.650699155475564,29,4,2146,6433,33.36%
Brown,38106,28478,74.7336377473364,1303,3.41940901695271,170,0.596952033148395,160,0.419881383509159,14,0.0367396210570514,36,0.0944733112895607,492,1.29113525429066,7453,19.558599695586,7176,18.8316800503858,901,2.36445704088595,104,0.272922899280953,18,2,8201,22744,36.06%
